gcc -O2 -o testED src/evolucion_diferencial.c src/f_utiles.c src/funciones_objetivo.c src/testED.c src/benchmarkOR.c -lm
./testED 12 200 data/g12.txt 300000 1 0.05 0.45 0.8 1
#Parametros: 
#tamanio Poblacion: 200 , dimension: 3 
#num max de Evals: 300000 
#CR: 0.45, F: 0.8 
#Total de Repeticiones: 1 
#
#CR: 0.45, F: 0.8 
gen 0 eps 1 tFac 0 bestEval -0.769715 STV 0.0521486 
gen 1 eps 1 tFac 0 bestEval -0.702074 STV 0.00699732 
gen 2 eps 1 tFac 0 bestEval -0.702074 STV 0.00699732 
gen 3 eps 1 tFac 2 bestEval -0.707401 STV 0 
gen 4 eps 1 tFac 4 bestEval -0.752316 STV 0 
gen 5 eps 1 tFac 6 bestEval -0.752316 STV 0 
gen 6 eps 1 tFac 12 bestEval -0.755271 STV 0 
gen 7 eps 1 tFac 14 bestEval -0.756656 STV 0 
gen 8 eps 0.9 tFac 25 bestEval -0.836413 STV 0 
gen 9 eps 0.81 tFac 40 bestEval -0.873859 STV 0 
gen 10 eps 0.729 tFac 48 bestEval -0.889082 STV 0 
gen 11 eps 0.6561 tFac 57 bestEval -0.889082 STV 0 
gen 12 eps 0.59049 tFac 63 bestEval -0.889082 STV 0 
gen 13 eps 0.531441 tFac 67 bestEval -0.889082 STV 0 
gen 14 eps 0.478297 tFac 71 bestEval -0.889082 STV 0 
gen 15 eps 0.430467 tFac 80 bestEval -0.889082 STV 0 
gen 16 eps 0.38742 tFac 86 bestEval -0.889082 STV 0 
gen 17 eps 0.348678 tFac 98 bestEval -0.889082 STV 0 
gen 18 eps 0.313811 tFac 104 bestEval -0.889082 STV 0 
gen 19 eps 0.28243 tFac 113 bestEval -0.889082 STV 0 
gen 20 eps 0.254187 tFac 124 bestEval -0.891996 STV 0 
gen 21 eps 0.228768 tFac 133 bestEval -0.891996 STV 0 
gen 22 eps 0.205891 tFac 141 bestEval -0.891996 STV 0 
gen 23 eps 0.185302 tFac 150 bestEval -0.891996 STV 0 
gen 24 eps 0.166772 tFac 153 bestEval -0.891996 STV 0 
gen 25 eps 0.150095 tFac 158 bestEval -0.891996 STV 0 
gen 26 eps 0.135085 tFac 165 bestEval -0.891996 STV 0 
gen 27 eps 0.121577 tFac 171 bestEval -0.891996 STV 0 
gen 28 eps 0.109419 tFac 180 bestEval -0.89501 STV 0 
gen 29 eps 0.0984771 tFac 183 bestEval -0.89501 STV 0 
gen 30 eps 0.0886294 tFac 186 bestEval -0.89501 STV 0 
gen 31 eps 0.0797664 tFac 186 bestEval -0.89501 STV 0 
gen 32 eps 0.0717898 tFac 187 bestEval -0.89501 STV 0 
gen 33 eps 0.0646108 tFac 189 bestEval -0.89501 STV 0 
gen 34 eps 0.0581497 tFac 192 bestEval -0.895088 STV 0 
gen 35 eps 0.0523348 tFac 192 bestEval -0.895088 STV 0 
gen 36 eps 0.0471013 tFac 194 bestEval -0.895088 STV 0 
gen 37 eps 0.0423912 tFac 195 bestEval -0.895088 STV 0 
gen 38 eps 0.038152 tFac 196 bestEval -0.895088 STV 0 
gen 39 eps 0.0343368 tFac 199 bestEval -0.895088 STV 0 
gen 40 eps 0.0309032 tFac 200 bestEval -0.895405 STV 0 
gen 41 eps 0.0278128 tFac 200 bestEval -0.896193 STV 0 
gen 42 eps 0.0250316 tFac 200 bestEval -0.896193 STV 0 
gen 43 eps 0.0225284 tFac 200 bestEval -0.896193 STV 0 
gen 44 eps 0.0202756 tFac 200 bestEval -0.896272 STV 0 
gen 45 eps 0.018248 tFac 200 bestEval -0.896272 STV 0 
gen 46 eps 0.0164232 tFac 200 bestEval -0.896272 STV 0 
gen 47 eps 0.0147809 tFac 200 bestEval -0.896588 STV 0 
gen 48 eps 0.0133028 tFac 200 bestEval -0.896588 STV 0 
gen 49 eps 0.0119725 tFac 200 bestEval -0.896588 STV 0 
gen 50 eps 0.0107753 tFac 200 bestEval -0.896588 STV 0 
gen 51 eps 0.00969774 tFac 200 bestEval -0.896588 STV 0 
gen 52 eps 0.00872796 tFac 200 bestEval -0.896588 STV 0 
gen 53 eps 0.00785517 tFac 200 bestEval -0.896588 STV 0 
gen 54 eps 0.00706965 tFac 200 bestEval -0.896643 STV 0 
gen 55 eps 0.00636269 tFac 200 bestEval -0.896643 STV 0 
